Имя тега;Метка времени;Значение;Статус.Качество;Статус.Код;Статус.Описание;Аннотация
"AP_CS_SRV1.OUA_R.UB_Steam3.Boiler3_TI_308C_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"209.07188";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam3.Boiler3_TI_308E_Value";Mon Aug 21 2023 11:26:27 GMT+0300 (Москва, стандартное время);"17.76983";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam3.Boiler3_TI_308F_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"129.31879";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam3.Boiler3_TI_309A_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"351.4166";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam3.Boiler3_TI_309C_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"209.7786";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam3.Boiler3_TI_316A_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"243.30205";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam3.Boiler3_TI_316B_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"304.99133";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam3.Boiler3_TI_316C_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"338.45206";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam3.Boiler3_ZI_301A_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"2.8211884";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam3.Boiler3_ZI_302A_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"45.56884";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam3.Boiler3_ZI_303A_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"31.438126";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam3.Boiler3_ZI_304A_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"-1.083007";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam3.Boiler3_ZI_305A_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"99.62321";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam3.Boiler3_ZI_306A_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"0.2459487";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam3.Boiler3_ZI_307A_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"0.21727203";Good;0;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam2.Boiler2_212_State";Mon Aug 21 2023 05:03:39 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam2.Boiler2_213_State";Mon Aug 21 2023 05:03:39 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam2.Boiler2_214_State";Mon Aug 21 2023 05:03:39 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam2.Boiler2_FI_200C_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"28.761473";Good;0;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam2.Boiler2_FI_200F_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"27.412539";Good;0;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam2.Boiler2_FI_200R_Value";Mon Aug 21 2023 11:24:45 GMT+0300 (Москва, стандартное время);"-0.6329724";Good;0;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam2.Boiler2_LI_210A_Value";Mon Aug 21 2023 05:31:44 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam2.Boiler2_PI_200B_Value";Mon Aug 21 2023 05:31:44 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam2.Boiler2_PI_200E_Value";Mon Aug 21 2023 05:31:44 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam2.Boiler2_PI_200H_Value";Mon Aug 21 2023 05:31:44 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam2.Boiler2_PI_200I_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"-116.0655";Good;0;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam2.Boiler2_PI_208B_Value";Mon Aug 21 2023 05:31:44 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam2.Boiler2_PI_208D_Value";Mon Aug 21 2023 05:31:44 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam2.Boiler2_PI_209B_Value";Mon Aug 21 2023 05:31:44 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam2.Boiler2_PI_210B_Value";Mon Aug 21 2023 05:31:44 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
