Имя тега;Метка времени;Значение;Статус.Качество;Статус.Код;Статус.Описание;Аннотация
"DB25_DBW52";Tue Aug 15 2023 12:41:33 GMT+0300 (Москва, стандартное время);"690";Good;0;"";"";
"BRAZ.LP.LO2.LA4.MS5.N1";;"";;;"";"";
"BRAZ.LP.LO2.LA4.MS6.N2";;"";;;"";"";
"BRAZ.LP.LO2.LA4.CS1.N3";;"";;;"";"";
"BRAZ.LP.LO2.LA4.CS2.N4";;"";;;"";"";
"BRAZ.LP.LO2.LA4.CS1.N5";;"";;;"";"";
"BRAZ.LP.LO2.LA4.CS2.N6";;"";;;"";"";
"BRAZ.LP.LO2.LA4.CS1.N7";;"";;;"";"";
"BRAZ.LP.LO2.LA4.CS2.N8";;"";;;"";"";
"BRAZ.LP.LO2.LA4.CS1.N9";;"";;;"";"";
"BRAZ.LP.LO2.LA4.CS2.N10";;"";;;"";"";
"KRAZ.LP.L1.LB4.MIKS42.T.T.DB220_DBD104.PV.R";Wed Aug 16 2023 03:21:04 GMT+0300 (Москва, стандартное время);"708.9298706054688";Good;0;"";"";
"KRAZ.LP.L1.LB4.MIKS42.T.S.DB6_DBW84.PV.R";Wed Aug 16 2023 03:09:19 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"KRAZ.LP.L1.LB5.MIKS51.T.T.MD60.PV.R";Wed Aug 16 2023 03:21:19 GMT+0300 (Москва, стандартное время);"748.7599487304688";Good;0;"";"";
"KRAZ.LP.L1.LB5.MIKS52.T.T.MD36.PV.R";Wed Aug 16 2023 03:05:04 GMT+0300 (Москва, стандартное время);"703.8599853515625";Good;0;"";"";
"KRAZ.LP.L1.LB6.MIKS61.T.T.MD60.PV.R";Wed Aug 16 2023 03:20:49 GMT+0300 (Москва, стандартное время);"767.1199951171875";Good;0;"";"";
"KRAZ.LP.L1.LB6.MIKS62 .T.T.MD36.PV.R";Wed Aug 16 2023 03:18:04 GMT+0300 (Москва, стандартное время);"722.1199951171875";Good;0;"";"";
"KRAZ.LP.L1.LA5.MIKT05.T.T.MD36.PV.R";Wed Aug 16 2023 03:21:19 GMT+0300 (Москва, стандартное время);"726.1699829101562";Good;0;"";"";
"KRAZ.LP.L1.LA5.MIKT05.T.T.MD24.PV.R";Wed Aug 16 2023 03:21:19 GMT+0300 (Москва, стандартное время);"759.969970703125";Good;0;"";"";
"KRAZ.LP.L1.LA5.MIKT05.T.S.I16_0.PV.R";Tue Aug 15 2023 12:41:33 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"KRAZ.LP.L1.LA5.MIKT05.T.T.40001.PV.R";Wed Aug 16 2023 03:21:04 GMT+0300 (Москва, стандартное время);"41";Good;0;"";"";
"KRAZ.LP.L1.LA5.MIKT05.T.T.40002.PV.R";Wed Aug 16 2023 03:21:19 GMT+0300 (Москва, стандартное время);"41";Good;0;"";"";
"KRAZ.LP.L1.LA5.MIKT05.T.T.40003.PV.R";Wed Aug 16 2023 03:21:19 GMT+0300 (Москва, стандартное время);"52";Good;0;"";"";
"KRAZ.LP.L1.LA5.MIKT05.T.T.40004.PV.R";Wed Aug 16 2023 03:21:19 GMT+0300 (Москва, стандартное время);"59";Good;0;"";"";
"KRAZ.LP.L1.LA5.MIKT05.T.T.40005.PV.R";Wed Aug 16 2023 03:21:19 GMT+0300 (Москва, стандартное время);"53";Good;0;"";"";
"KRAZ.LP.L1.LA5.MIKT05.T.T.40006.PV.R";Wed Aug 16 2023 03:21:19 GMT+0300 (Москва, стандартное время);"62";Good;0;"";"";
