Имя тега;Метка времени;Значение;Статус.Качество;Статус.Код;Статус.Описание;Аннотация
"EP_S1_PLC3.OUA_N.E101_102.EP_S1_PLC3_OUA_N_E101_102_I_NOMINAL_3";;"";;;"";"";
"EP_S1_PLC4.OUA_N.E103_104.EP102_I_NOMINAL";;"";;;"";"";
"EP_S1_PLC5.OUA_N.E105_106.EP102_I_NOMINAL";;"";;;"";"";
"EP_S1_PLC6.OUA_N.E107_108.EP102_I_NOMINAL";;"";;;"";"";
"EP_S1_PLC7.OUA_N.E109_110.EP102_I_NOMINAL";;"";;;"";"";
"EP_S1_PLC8.OUA_N.E111_112.EP102_I_NOMINAL";;"";;;"";"";
"EP_S1_PLC9.OUA_N.E113_114.EP102_I_NOMINAL";;"";;;"";"";
"EP_SS_DEV1.MB_N.TCT.Temp_point1";Fri Aug 18 2023 10:59:25 GMT+0300 (Москва, стандартное время);"1";Good;0;"";"";
"EP_SS_DEV1.MB_N.TCT.Temp_point2";Fri Aug 18 2023 10:59:25 GMT+0300 (Москва, стандартное время);"32770";Good;0;"";"";
"EP_S1_PLC3.OUA_N.E101_102.E1_POT_STATUS";Fri Aug 18 2023 10:59:22 GMT+0300 (Москва, стандартное время);"5120";Good;0;"";"";
"EP_S1_PLC3.OUA_N.E101_102.E1_I_NOMINAL";Fri Aug 18 2023 10:59:22 GMT+0300 (Москва, стандартное время);"1730";Good;0;"";"";
"EP_S1_PLC3.OUA_N.E101_102.E1_UN";Mon Aug 21 2023 11:25:34 GMT+0300 (Москва, стандартное время);"4293";Good;0;"";"";
"EP_S1_PLC3.OUA_N.E101_102.E1_UTARG";Mon Aug 21 2023 02:24:33 GMT+0300 (Москва, стандартное время);"4305";Good;0;"";"";
"EP_S1_PLC3.OUA_N.E101_102.E1_UW";Mon Aug 21 2023 11:26:34 GMT+0300 (Москва, стандартное время);"4363";Good;0;"";"";
"EP_S1_PLC3.OUA_N.E101_102.E1_UDEKR";Fri Aug 18 2023 10:59:22 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"EP_S1_PLC3.OUA_N.E101_102.E1_DNOISE";Fri Aug 18 2023 10:59:22 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"EP_S1_PLC3.OUA_N.E101_102.E1_APG_MODE";Mon Aug 21 2023 11:12:34 GMT+0300 (Москва, стандартное время);"2048";Good;0;"";"";
"EP_S1_PLC3.OUA_N.E101_102.E1_APG";Mon Aug 21 2023 11:12:34 GMT+0300 (Москва, стандартное время);"456";Good;0;"";"";
"EP_S1_PLC3.OUA_N.E101_102.E1_NO_POWER_SUPPLY_APG";Mon Aug 21 2023 05:36:55 GMT+0300 (Москва, стандартное время);"8192";Good;0;"";"";
"EP_S1_PLC3.OUA_N.E101_102.E1_TUAPG";Mon Aug 21 2023 11:12:34 GMT+0300 (Москва, стандартное время);"137";Good;0;"";"";
"EP_S1_PLC3.OUA_N.E101_102.E1_TUAPG_MODE";Mon Aug 21 2023 07:25:37 GMT+0300 (Москва, стандартное время);"137";Good;0;"";"";
"EP_S1_PLC3.OUA_N.E101_102.E1_CONTROL_MODE";Mon Aug 21 2023 09:35:34 GMT+0300 (Москва, стандартное время);"33028";Good;0;"";"";
"EP_S1_PLC3.OUA_N.E101_102.E1_POURING";Mon Aug 21 2023 11:26:19 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
