Имя тега;Метка времени;Значение;Статус.Качество;Статус.Код;Статус.Описание;Аннотация
"EN_WS_SRV1.ODA_N.WasteWater.P_press_coll_1_min";Mon Aug 21 2023 11:31:30 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"EN_WS_SRV1.ODA_N.WasteWater.P_press_coll_2";Mon Aug 21 2023 13:33:44 GMT+0300 (Москва, стандартное время);"9";Good;0;"";"";
"EN_WS_SRV1.ODA_N.WasteWater.P_press_coll_2_max";Mon Aug 21 2023 11:31:30 GMT+0300 (Москва, стандартное время);"1143930900";Good;0;"";"";
"EN_WS_SRV1.ODA_N.WasteWater.P_press_coll_2_min";Mon Aug 21 2023 11:31:30 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"EN_WS_SRV1.ODA_N.WasteWater.Pump1_StatusIsEnabled";Fri Aug 18 2023 11:07:53 GMT+0300 (Москва, стандартное время);"false";Bad;1;"";"";
"EN_WS_SRV1.ODA_N.WasteWater.Pump1_Tok";Mon Aug 21 2023 13:33:45 GMT+0300 (Москва, стандартное время);"232";Good;0;"";"";
"EN_WS_SRV1.ODA_N.WasteWater.Pump2_StatusIsEnabled";Fri Aug 18 2023 11:07:53 GMT+0300 (Москва, стандартное время);"false";Bad;1;"";"";
"EN_WS_SRV1.ODA_N.WasteWater.Pump2_Tok";Mon Aug 21 2023 13:33:30 GMT+0300 (Москва, стандартное время);"277.5";Good;0;"";"";
"EN_WS_SRV1.ODA_N.WasteWater.Pump3_StatusIsEnabled";Fri Aug 18 2023 11:07:53 GMT+0300 (Москва, стандартное время);"false";Bad;1;"";"";
"EN_WS_SRV1.ODA_N.WasteWater.Pump3_Tok";Fri Aug 18 2023 11:07:53 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"EN_WS_SRV1.ODA_N.WasteWater.T_press_coll_1";Mon Aug 21 2023 13:23:24 GMT+0300 (Москва, стандартное время);"25.434029";Good;0;"";"";
"EN_WS_SRV1.ODA_N.WasteWater.T_press_coll_1_max";Mon Aug 21 2023 11:31:30 GMT+0300 (Москва, стандартное время);"1125515300";Good;0;"";"";
"EN_WS_SRV1.ODA_N.WasteWater.T_press_coll_1_min";Mon Aug 21 2023 11:31:30 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"EN_WS_SRV1.ODA_N.WasteWater.T_press_coll_2";Mon Aug 21 2023 13:28:30 GMT+0300 (Москва, стандартное время);"24.956596";Good;0;"";"";
"EN_WS_SRV1.ODA_N.WasteWater.T_press_coll_2_max";Mon Aug 21 2023 11:31:30 GMT+0300 (Москва, стандартное время);"1125515300";Good;0;"";"";
"EN_WS_SRV1.ODA_N.WasteWater.T_press_coll_2_min";Mon Aug 21 2023 11:31:30 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
